Date,Vteam,VPTS,Hteam,HPTS
2016-12-02 07:00:00,Orlando Magic,105.0,Philadelphia 76ers,88.0
2016-12-02 07:30:00,Sacramento Kings,92.0,Boston Celtics,97.0
2016-12-02 07:30:00,Minnesota Timberwolves,114.0,New York Knicks,118.0
2016-12-02 07:30:00,Los Angeles Lakers,80.0,Toronto Raptors,113.0
2016-12-02 08:00:00,Cleveland Cavaliers,105.0,Chicago Bulls,111.0
2016-12-02 08:00:00,Los Angeles Clippers,114.0,New Orleans Pelicans,96.0
2016-12-02 08:00:00,Detroit Pistons,121.0,Atlanta Hawks,85.0
2016-12-02 08:30:00,Washington Wizards,105.0,San Antonio Spurs,107.0
2016-12-02 10:30:00,Houston Rockets,128.0,Denver Nuggets,110.0
2016-12-03 05:00:00,Brooklyn Nets,103.0,Milwaukee Bucks,112.0
2016-12-03 07:00:00,Minnesota Timberwolves,125.0,Charlotte Hornets,120.0
2016-12-03 07:30:00,Boston Celtics,107.0,Philadelphia 76ers,106.0
2016-12-03 07:30:00,Atlanta Hawks,84.0,Toronto Raptors,128.0
2016-12-03 08:00:00,Los Angeles Lakers,100.0,Memphis Grizzlies,103.0
2016-12-03 08:30:00,Chicago Bulls,82.0,Dallas Mavericks,107.0
2016-12-03 09:00:00,Denver Nuggets,98.0,Utah Jazz,105.0
2016-12-03 10:00:00,Miami Heat,92.0,Portland Trail Blazers,99.0
2016-12-03 10:30:00,Phoenix Suns,109.0,Golden State Warriors,138.0
2016-12-04 06:00:00,Orlando Magic,98.0,Detroit Pistons,92.0
2016-12-04 07:00:00,New Orleans Pelicans,92.0,Oklahoma City Thunder,101.0
2016-12-04 07:30:00,Sacramento Kings,98.0,New York Knicks,106.0
2016-12-04 09:30:00,Indiana Pacers,111.0,Los Angeles Clippers,102.0
2016-12-05 07:00:00,Denver Nuggets,106.0,Philadelphia 76ers,98.0
2016-12-05 07:30:00,Cleveland Cavaliers,116.0,Toronto Raptors,112.0
2016-12-05 07:30:00,Oklahoma City Thunder,102.0,Atlanta Hawks,99.0
2016-12-05 07:30:00,Washington Wizards,118.0,Brooklyn Nets,113.0
2016-12-05 08:00:00,Boston Celtics,106.0,Houston Rockets,107.0
2016-12-05 08:00:00,San Antonio Spurs,97.0,Milwaukee Bucks,96.0
2016-12-05 08:00:00,Portland Trail Blazers,112.0,Chicago Bulls,110.0
2016-12-05 08:00:00,Memphis Grizzlies,110.0,New Orleans Pelicans,108.0
2016-12-05 08:30:00,Charlotte Hornets,109.0,Dallas Mavericks,101.0
2016-12-05 10:30:00,Indiana Pacers,106.0,Golden State Warriors,142.0
2016-12-05 10:30:00,Utah Jazz,107.0,Los Angeles Lakers,101.0
2016-12-06 07:00:00,Orlando Magic,124.0,Washington Wizards,116.0
2016-12-06 07:30:00,Chicago Bulls,91.0,Detroit Pistons,102.0
2016-12-06 07:30:00,New York Knicks,114.0,Miami Heat,103.0
2016-12-06 08:00:00,Philadelphia 76ers,91.0,Memphis Grizzlies,96.0
2016-12-06 08:00:00,San Antonio Spurs,105.0,Minnesota Timberwolves,91.0
2016-12-06 09:00:00,Phoenix Suns,105.0,Utah Jazz,112.0
2016-12-07 07:00:00,Detroit Pistons,77.0,Charlotte Hornets,87.0
2016-12-07 07:00:00,Boston Celtics,117.0,Orlando Magic,87.0
2016-12-07 07:30:00,Miami Heat,95.0,Atlanta Hawks,103.0
2016-12-07 07:30:00,Denver Nuggets,111.0,Brooklyn Nets,116.0
2016-12-07 08:00:00,Los Angeles Lakers,95.0,Houston Rockets,134.0
2016-12-07 08:00:00,Portland Trail Blazers,107.0,Milwaukee Bucks,115.0
2016-12-07 08:00:00,Cleveland Cavaliers,126.0,New York Knicks,94.0
2016-12-07 08:30:00,Sacramento Kings,120.0,Dallas Mavericks,89.0
2016-12-07 09:00:00,Indiana Pacers,109.0,Phoenix Suns,94.0
2016-12-07 10:30:00,Golden State Warriors,115.0,Los Angeles Clippers,98.0
2016-12-08 07:00:00,Minnesota Timberwolves,110.0,Toronto Raptors,124.0
2016-12-08 07:00:00,Denver Nuggets,85.0,Washington Wizards,92.0
2016-12-08 08:00:00,Portland Trail Blazers,86.0,Memphis Grizzlies,88.0
2016-12-08 08:00:00,Philadelphia 76ers,99.0,New Orleans Pelicans,88.0
2016-12-08 09:00:00,Golden State Warriors,106.0,Utah Jazz,99.0
2016-12-08 09:30:00,San Antonio Spurs,91.0,Chicago Bulls,95.0
2016-12-09 07:00:00,Orlando Magic,88.0,Charlotte Hornets,109.0
2016-12-09 07:30:00,Toronto Raptors,101.0,Boston Celtics,94.0
2016-12-09 07:30:00,Miami Heat,84.0,Cleveland Cavaliers,114.0
2016-12-09 08:00:00,Atlanta Hawks,114.0,Milwaukee Bucks,110.0
2016-12-09 08:00:00,Detroit Pistons,117.0,Minnesota Timberwolves,90.0
2016-12-09 08:00:00,Houston Rockets,102.0,Oklahoma City Thunder,99.0
2016-12-09 08:30:00,Indiana Pacers,103.0,Dallas Mavericks,111.0
2016-12-09 10:30:00,Phoenix Suns,119.0,Los Angeles Lakers,115.0
2016-12-09 10:30:00,New York Knicks,103.0,Sacramento Kings,100.0
